ID,Age, Income,MaritalSituation,hasKids,EducationalYears,EducationalDegree,Fruits,MeatProduct,FishProduct,SweetProduct,GoldProduct
365,35,"$21,888.00 ",Alone,Yes,18,Master,10,46,2,3,64
366,43,"$41,580.00 ",In couple,Yes,12,Graduation,5,24,4,0,3
367,42,"$31,605.00 ",In couple,Yes,21,PhD,0,42,2,1,6
368,47,"$25,509.00 ",Alone,Yes,21,PhD,3,30,10,7,11
369,47,"$25,509.00 ",Alone,Yes,21,PhD,3,30,10,7,11
370,62,"$33,051.00 ",Alone,No,18,Master,71,243,108,94,219
371,55,"$28,764.00 ",In couple,Yes,21,PhD,0,3,0,0,1
372,38,"$32,146.00 ",In couple,Yes,8,2n Cycle,3,23,4,7,3
373,38,"$22,148.00 ",Alone,No,12,Graduation,5,14,0,4,11
374,42,"$36,781.00 ",In couple,Yes,12,Graduation,1,17,0,3,13
375,61,"$54,197.00 ",In couple,Yes,18,Master,6,37,6,13,13
376,51,"$93,790.00 ",Alone,No,12,Graduation,68,731,89,114,45
377,49,"$24,762.00 ",Alone,Yes,12,Graduation,10,12,3,15,40
378,37,"$30,477.00 ",In couple,Yes,18,Master,1,6,0,0,12
379,46,"$11,448.00 ",Alone,No,8,2n Cycle,0,0,6,2,6
380,54,"$70,844.00 ",Alone,Yes,12,Graduation,26,67,3,67,2
381,41,"$30,828.00 ",Alone,Yes,12,Graduation,11,15,2,0,12
382,54,"$62,513.00 ",In couple,Yes,18,Master,42,98,0,42,14
383,40,"$27,733.00 ",In couple,Yes,8,2n Cycle,7,5,26,2,17
384,48,"$39,435.00 ",In couple,Yes,21,PhD,0,18,0,0,13
385,51,"$75,345.00 ",Alone,No,18,Master,57,842,99,38,133
386,35,"$20,491.00 ",In couple,No,8,2n Cycle,4,5,4,2,10
387,50,"$36,715.00 ",In couple,Yes,12,Graduation,10,125,21,13,16
388,62,"$71,706.00 ",In couple,Yes,12,Graduation,56,253,91,98,14
389,55,"$69,063.00 ",In couple,Yes,21,PhD,35,124,69,8,26
390,33,"$24,645.00 ",In couple,Yes,12,Graduation,3,4,4,1,0
391,46,"$35,797.00 ",In couple,Yes,12,Graduation,1,14,4,1,21
392,52,"$44,078.00 ",In couple,Yes,12,Graduation,1,10,2,0,4
393,50,"$26,954.00 ",Alone,Yes,12,Graduation,1,11,0,0,1
394,49,,In couple,Yes,21,PhD,1,13,0,0,3
395,49,"$38,887.00 ",In couple,Yes,21,PhD,1,13,0,0,3
396,47,"$65,463.00 ",In couple,Yes,8,2n Cycle,32,70,21,32,16
397,62,"$53,537.00 ",In couple,Yes,21,PhD,0,6,0,0,6
398,50,"$36,230.00 ",Alone,Yes,18,Master,2,30,8,2,3
399,71,"$80,763.00 ",In couple,No,12,Graduation,168,108,192,42,231
400,50,"$60,585.00 ",In couple,Yes,21,PhD,42,309,55,42,21
401,47,"$49,166.00 ",Alone,Yes,12,Graduation,2,25,7,0,110
402,66,"$75,261.00 ",In couple,No,21,PhD,17,413,23,34,17
403,30,"$89,891.00 ",In couple,No,12,Graduation,22,132,59,28,183
404,59,"$72,828.00 ",In couple,Yes,18,Master,0,235,19,14,205
405,69,"$75,278.00 ",In couple,No,12,Graduation,98,230,150,74,74
406,43,"$38,557.00 ",Alone,Yes,12,Graduation,3,31,4,4,27
407,58,"$81,300.00 ",In couple,Yes,21,PhD,12,145,32,12,36
408,56,"$60,161.00 ",Alone,Yes,8,2n Cycle,44,212,46,8,177
409,44,"$69,389.00 ",In couple,Yes,21,PhD,7,238,69,46,15
410,67,"$64,497.00 ",Alone,Yes,12,Graduation,48,320,42,32,192
411,41,"$61,014.00 ",In couple,Yes,12,Graduation,129,495,182,43,29
412,46,"$44,319.00 ",In couple,Yes,18,Master,0,8,0,0,3
413,64,"$53,233.00 ",In couple,Yes,8,2n Cycle,0,9,3,0,0
414,67,"$77,972.00 ",In couple,No,12,Graduation,22,319,33,102,12
415,34,"$81,361.00 ",Alone,No,12,Graduation,23,424,27,65,76
416,34,"$81,361.00 ",Alone,No,12,Graduation,23,424,27,65,76
417,37,"$25,707.00 ",Alone,Yes,5,Basic,6,2,3,6,3
418,50,"$42,403.00 ",In couple,Yes,21,PhD,1,11,0,5,3
419,49,"$65,704.00 ",Alone,No,8,2n Cycle,172,74,38,8,246
420,41,"$37,406.00 ",In couple,Yes,12,Graduation,0,8,2,2,3
421,70,"$39,767.00 ",In couple,No,18,Master,61,204,34,26,47
422,42,"$54,210.00 ",In couple,Yes,8,2n Cycle,54,109,80,9,45
423,54,"$57,136.00 ",Alone,No,12,Graduation,140,599,34,12,127
424,46,"$40,794.00 ",In couple,Yes,12,Graduation,23,73,4,23,50
425,56,"$83,003.00 ",In couple,No,12,Graduation,61,570,40,25,122
426,61,"$89,058.00 ",In couple,No,18,Master,194,106,31,22,43
427,30,"$20,193.00 ",In couple,No,8,2n Cycle,8,22,24,11,9
428,47,"$72,099.00 ",In couple,No,12,Graduation,91,410,119,0,22
429,50,"$43,824.00 ",In couple,Yes,12,Graduation,1,42,12,3,32
430,46,"$66,653.00 ",In couple,Yes,12,Graduation,18,102,16,18,6
431,43,"$44,359.00 ",In couple,Yes,12,Graduation,0,14,7,3,1
432,60,"$79,410.00 ",In couple,No,12,Graduation,80,483,123,13,13
433,44,"$55,842.00 ",In couple,Yes,18,Master,0,39,0,4,24
434,55,"$79,946.00 ",Alone,No,12,Graduation,183,565,166,141,28
435,42,"$88,194.00 ",Alone,Yes,8,2n Cycle,14,309,201,24,38
436,77,"$80,184.00 ",In couple,No,18,Master,134,670,25,38,0
437,54,"$76,982.00 ",Alone,No,12,Graduation,151,292,65,60,30
438,41,"$65,295.00 ",Alone,No,21,PhD,32,117,34,110,6
439,48,"$57,100.00 ",In couple,No,12,Graduation,21,69,39,3,96
440,40,"$29,009.00 ",In couple,Yes,12,Graduation,6,15,10,5,2
441,50,"$78,931.00 ",In couple,No,21,PhD,197,170,58,152,35
442,46,"$7,500.00 ",In couple,Yes,18,Master,1,10,3,2,12
443,45,"$56,939.00 ",In couple,Yes,12,Graduation,34,103,90,29,49
444,31,"$64,509.00 ",Alone,No,12,Graduation,185,575,24,25,77
445,31,"$30,093.00 ",In couple,No,12,Graduation,6,28,13,4,16
446,47,"$30,351.00 ",In couple,Yes,21,PhD,0,24,3,3,2
447,47,"$30,351.00 ",In couple,Yes,21,PhD,0,24,3,3,2
448,61,"$38,201.00 ",In couple,Yes,21,PhD,0,23,0,0,12
449,35,,Alone,Yes,12,Graduation,1,3,3,263,362
450,41,"$43,974.00 ",In couple,Yes,21,PhD,0,101,0,0,72
451,51,"$38,200.00 ",In couple,Yes,12,Graduation,0,4,0,0,1
452,61,"$87,305.00 ",Alone,No,8,2n Cycle,25,501,63,138,80
453,60,"$16,860.00 ",In couple,Yes,12,Graduation,4,4,3,3,14
454,49,"$27,213.00 ",Alone,Yes,21,PhD,3,26,10,9,3
455,45,"$7,500.00 ",In couple,Yes,12,Graduation,0,12,13,7,32
456,56,"$4,861.00 ",Alone,No,12,Graduation,1,1,1,0,1
457,50,"$38,196.00 ",In couple,Yes,18,Master,0,11,0,0,3
458,71,"$41,145.00 ",In couple,Yes,21,PhD,0,3,0,0,1
459,39,"$38,513.00 ",Alone,Yes,21,PhD,3,115,16,0,18
460,53,"$45,688.00 ",In couple,Yes,12,Graduation,0,18,0,0,9
461,63,"$77,863.00 ",In couple,No,21,PhD,38,319,16,25,12
462,52,"$42,169.00 ",In couple,Yes,18,Master,0,9,0,0,2
463,57,"$45,906.00 ",Alone,Yes,12,Graduation,3,27,4,3,144
464,33,"$35,388.00 ",Alone,Yes,8,2n Cycle,4,7,4,3,8
465,52,"$80,952.00 ",In couple,No,12,Graduation,178,689,41,27,44
466,67,"$39,898.00 ",In couple,Yes,12,Graduation,8,26,12,7,12
467,67,"$39,898.00 ",In couple,Yes,12,Graduation,8,26,12,7,12
468,48,"$44,051.00 ",Alone,Yes,18,Master,7,58,6,3,18
469,67,"$86,718.00 ",In couple,No,12,Graduation,189,482,50,33,172
470,35,"$80,141.00 ",In couple,No,18,Master,102,673,52,40,40
471,45,"$58,597.00 ",In couple,Yes,12,Graduation,0,184,10,28,21
472,76,"$70,356.00 ",In couple,No,21,PhD,16,249,43,16,33
473,54,"$46,904.00 ",Alone,Yes,12,Graduation,4,56,0,9,31
474,75,"$37,760.00 ",In couple,No,12,Graduation,5,38,150,12,28
475,75,"$37,760.00 ",In couple,No,12,Graduation,5,38,150,12,28
476,57,"$61,839.00 ",Alone,No,12,Graduation,155,379,224,17,120
477,49,"$29,791.00 ",In couple,Yes,21,PhD,0,6,0,0,0
478,58,"$48,918.00 ",Alone,Yes,21,PhD,0,9,0,0,1
479,58,"$48,918.00 ",Alone,Yes,21,PhD,0,9,0,0,1
480,56,"$58,692.00 ",In couple,Yes,12,Graduation,11,61,4,7,11
481,45,"$39,356.00 ",In couple,Yes,12,Graduation,0,2,0,0,6
482,49,"$76,234.00 ",In couple,Yes,18,Master,50,167,130,0,41
483,37,"$55,434.00 ",In couple,Yes,12,Graduation,115,215,169,69,76
484,75,"$66,835.00 ",In couple,No,18,Master,26,195,34,17,141
485,75,"$66,835.00 ",In couple,No,18,Master,26,195,34,17,141
486,70,"$71,965.00 ",In couple,Yes,12,Graduation,19,286,50,38,248
487,50,"$74,538.00 ",In couple,No,12,Graduation,98,733,110,112,28
488,67,"$50,002.00 ",Alone,Yes,12,Graduation,5,71,21,16,82
489,63,"$53,977.00 ",In couple,Yes,12,Graduation,16,165,0,24,82
490,63,"$53,977.00 ",In couple,Yes,12,Graduation,16,165,0,24,82
491,50,"$69,930.00 ",In couple,No,12,Graduation,98,827,219,70,196
492,54,"$62,981.00 ",In couple,No,21,PhD,14,590,38,44,0
493,47,"$46,014.00 ",In couple,Yes,18,Master,0,59,19,9,44
494,34,"$18,227.00 ",In couple,Yes,12,Graduation,2,7,4,3,11
495,45,"$65,991.00 ",In couple,Yes,12,Graduation,19,364,25,47,9
496,49,"$38,808.00 ",Alone,Yes,12,Graduation,17,52,3,19,30
497,39,"$160,803.00 ",In couple,No,21,PhD,16,1622,17,3,4
498,43,"$43,783.00 ",In couple,Yes,18,Master,9,125,25,4,139
499,52,"$30,396.00 ",In couple,Yes,21,PhD,0,6,0,1,12
500,57,"$65,526.00 ",In couple,Yes,21,PhD,19,69,12,0,9
501,57,"$65,526.00 ",In couple,Yes,21,PhD,19,69,12,0,9
502,77,"$55,956.00 ",In couple,No,12,Graduation,38,104,50,9,38
503,43,"$55,563.00 ",Alone,Yes,12,Graduation,1,9,2,0,2
504,56,"$57,236.00 ",In couple,Yes,21,PhD,0,9,2,1,4
505,48,"$89,694.00 ",Alone,Yes,12,Graduation,28,211,37,28,42
506,50,"$57,420.00 ",In couple,Yes,18,Master,0,18,0,0,24
507,49,"$33,622.00 ",In couple,Yes,12,Graduation,1,22,3,4,12
508,35,"$29,999.00 ",Alone,Yes,21,PhD,7,59,10,5,11
509,59,"$31,497.00 ",In couple,Yes,21,PhD,1,28,13,1,4
510,59,"$31,497.00 ",In couple,Yes,21,PhD,1,28,13,1,4
511,41,"$36,802.00 ",Alone,Yes,21,PhD,1,2,0,0,1
512,53,"$61,671.00 ",Alone,Yes,12,Graduation,7,56,0,0,28
513,128,"$60,182.00 ",Alone,Yes,8,2n Cycle,0,5,7,0,2
514,50,"$29,732.00 ",In couple,Yes,21,PhD,0,8,0,1,4
515,35,"$45,921.00 ",In couple,No,21,PhD,9,49,24,3,12
516,37,"$16,529.00 ",In couple,Yes,12,Graduation,0,5,13,0,1
517,61,"$98,777.00 ",Alone,No,18,Master,19,711,125,115,38
518,61,"$98,777.00 ",Alone,No,18,Master,19,711,125,115,38
519,69,"$77,027.00 ",In couple,Yes,18,Master,57,242,45,0,11
520,56,"$69,139.00 ",In couple,Yes,12,Graduation,12,75,33,15,6
521,56,"$69,139.00 ",In couple,Yes,12,Graduation,12,75,33,15,6
522,39,"$65,169.00 ",In couple,No,12,Graduation,0,69,0,0,46
523,69,"$40,049.00 ",Alone,Yes,12,Graduation,6,7,0,3,3
524,76,"$69,755.00 ",In couple,No,12,Graduation,77,373,111,23,93
525,60,,In couple,Yes,21,PhD,0,27,10,0,15
526,60,"$54,456.00 ",In couple,Yes,21,PhD,0,27,10,0,15
527,44,"$666,666.00 ",In couple,Yes,12,Graduation,14,18,8,1,12
528,70,"$60,689.00 ",Alone,Yes,12,Graduation,90,216,63,6,24
529,43,"$26,487.00 ",Alone,Yes,5,Basic,8,10,12,14,23
530,51,"$28,164.00 ",In couple,Yes,12,Graduation,18,26,11,8,12
531,51,"$22,585.00 ",Alone,No,12,Graduation,9,15,13,2,39
532,50,"$64,795.00 ",In couple,Yes,12,Graduation,5,119,38,29,77
533,34,"$42,000.00 ",Alone,No,21,PhD,83,267,85,59,35
534,34,"$42,000.00 ",Alone,No,21,PhD,83,267,85,59,35
535,55,"$70,713.00 ",In couple,Yes,12,Graduation,114,279,82,76,190
536,75,"$82,800.00 ",Alone,No,21,PhD,22,115,59,68,45
537,75,"$82,800.00 ",Alone,No,21,PhD,22,115,59,68,45
538,46,"$30,801.00 ",In couple,Yes,5,Basic,4,5,15,2,11
539,47,"$83,891.00 ",In couple,Yes,18,Master,38,350,111,85,15
540,71,"$38,054.00 ",Alone,Yes,18,Master,2,17,2,1,0
541,52,"$14,045.00 ",In couple,Yes,12,Graduation,0,5,2,1,1
542,64,"$44,155.00 ",In couple,Yes,21,PhD,1,9,0,0,14
543,51,"$57,642.00 ",Alone,Yes,21,PhD,6,58,8,0,27
544,44,"$31,353.00 ",In couple,Yes,12,Graduation,0,10,3,1,7
545,44,"$31,353.00 ",In couple,Yes,12,Graduation,0,10,3,1,7
546,53,"$41,335.00 ",Alone,Yes,18,Master,19,21,16,14,5
547,53,"$41,335.00 ",Alone,Yes,18,Master,19,21,16,14,5
548,64,"$40,737.00 ",Alone,Yes,21,PhD,0,4,0,0,2
549,46,"$19,789.00 ",In couple,Yes,8,2n Cycle,5,9,28,6,28
550,72,"$35,946.00 ",Alone,Yes,21,PhD,0,3,0,0,0
551,38,"$36,262.00 ",In couple,No,18,Master,39,54,64,28,153
552,67,"$44,551.00 ",Alone,Yes,18,Master,4,33,0,0,66
553,62,"$71,367.00 ",In couple,No,12,Graduation,23,389,42,21,75
554,62,"$71,367.00 ",In couple,No,12,Graduation,23,389,42,21,75
555,62,"$57,957.00 ",In couple,Yes,12,Graduation,59,177,77,5,29
556,49,"$50,334.00 ",In couple,Yes,8,2n Cycle,16,160,84,16,134
557,72,"$48,150.00 ",In couple,Yes,18,Master,2,39,3,2,47
558,52,"$56,796.00 ",In couple,Yes,12,Graduation,38,161,62,47,37
559,52,"$56,796.00 ",In couple,Yes,12,Graduation,38,161,62,47,37
560,58,"$52,278.00 ",Alone,Yes,21,PhD,0,71,0,0,174
561,58,"$52,278.00 ",Alone,Yes,21,PhD,0,71,0,0,174
562,25,"$7,500.00 ",In couple,No,8,2n Cycle,18,14,15,22,50
563,69,"$33,444.00 ",In couple,Yes,18,Master,0,8,0,0,2
564,48,"$20,895.00 ",In couple,Yes,12,Graduation,3,17,3,0,4
565,45,"$37,509.00 ",In couple,Yes,18,Master,5,56,12,8,5
566,43,"$88,097.00 ",In couple,Yes,18,Master,0,480,0,126,75
567,48,"$59,041.00 ",In couple,Yes,12,Graduation,2,15,2,2,6
568,47,"$43,322.00 ",Alone,No,12,Graduation,7,48,10,2,18
569,66,"$46,015.00 ",In couple,Yes,21,PhD,0,2,0,0,6
570,66,"$46,015.00 ",In couple,Yes,21,PhD,0,2,0,0,6
571,62,"$34,242.00 ",In couple,Yes,18,Master,2,4,0,0,1
572,66,"$65,210.00 ",In couple,Yes,12,Graduation,0,70,0,7,28
573,63,"$50,520.00 ",Alone,Yes,21,PhD,0,6,2,1,14
574,51,"$90,765.00 ",In couple,No,12,Graduation,99,812,151,82,33
575,77,"$80,589.00 ",In couple,No,12,Graduation,93,520,242,40,26
576,63,"$49,572.00 ",In couple,Yes,18,Master,1,16,0,1,1
577,43,"$75,437.00 ",In couple,No,12,Graduation,0,545,95,58,0
578,50,"$44,635.00 ",Alone,Yes,18,Master,0,9,0,0,3
579,57,"$58,512.00 ",In couple,Yes,12,Graduation,10,101,13,0,152
580,69,"$62,000.00 ",Alone,Yes,21,PhD,0,101,0,0,20
581,65,"$54,252.00 ",Alone,Yes,12,Graduation,4,26,8,4,44
582,47,"$45,068.00 ",In couple,Yes,21,PhD,0,3,0,0,3
583,42,"$60,474.00 ",Alone,Yes,12,Graduation,199,303,234,9,170
584,42,"$60,474.00 ",Alone,Yes,12,Graduation,199,303,234,9,170
585,40,"$56,337.00 ",In couple,Yes,8,2n Cycle,16,144,28,5,182
586,34,"$22,434.00 ",In couple,Yes,12,Graduation,12,11,3,13,15
587,39,"$61,416.00 ",In couple,No,12,Graduation,154,323,201,61,78
588,46,"$92,163.00 ",In couple,No,18,Master,183,797,106,163,20
589,65,"$58,656.00 ",In couple,Yes,18,Master,12,194,16,24,12
590,48,,In couple,Yes,8,2n Cycle,3,43,17,4,17
591,35,"$8,940.00 ",Alone,Yes,5,Basic,45,3,4,6,42
592,47,"$26,751.00 ",In couple,Yes,12,Graduation,1,5,0,3,1
593,43,"$71,427.00 ",In couple,Yes,12,Graduation,123,177,15,64,23
594,37,"$26,646.00 ",In couple,Yes,12,Graduation,4,20,10,3,5
595,47,"$19,346.00 ",Alone,Yes,12,Graduation,0,9,3,6,2
596,46,"$56,243.00 ",Alone,Yes,12,Graduation,0,35,4,3,7
597,51,"$59,892.00 ",In couple,Yes,21,PhD,0,13,0,1,0
598,56,"$71,613.00 ",In couple,No,12,Graduation,49,127,111,21,42
599,35,"$25,252.00 ",In couple,Yes,12,Graduation,3,4,2,2,6
600,46,"$42,160.00 ",Alone,Yes,12,Graduation,9,45,3,15,20
601,42,"$15,862.00 ",Alone,Yes,5,Basic,1,4,11,9,10
602,47,"$82,584.00 ",In couple,No,18,Master,68,103,29,91,68
603,32,"$38,360.00 ",In couple,Yes,12,Graduation,2,42,20,21,10
604,64,"$75,283.00 ",In couple,Yes,21,PhD,9,180,12,19,66
605,65,"$34,941.00 ",In couple,Yes,18,Master,2,25,4,3,24
606,69,"$61,823.00 ",Alone,Yes,12,Graduation,7,134,37,14,169
607,65,"$90,226.00 ",In couple,No,18,Master,108,649,253,151,108
608,47,"$44,989.00 ",In couple,Yes,12,Graduation,0,106,49,10,106
609,47,"$44,989.00 ",In couple,Yes,12,Graduation,0,106,49,10,106
610,41,"$43,586.00 ",In couple,Yes,12,Graduation,2,11,4,0,16
611,47,"$32,233.00 ",Alone,Yes,12,Graduation,15,35,25,11,72
612,52,"$62,882.00 ",In couple,Yes,12,Graduation,133,497,78,24,97
613,58,"$57,288.00 ",In couple,Yes,18,Master,0,21,0,0,60
614,40,"$75,774.00 ",In couple,Yes,8,2n Cycle,21,134,258,14,56
615,40,"$75,774.00 ",In couple,Yes,8,2n Cycle,21,134,258,14,56
616,33,"$90,247.00 ",Alone,No,18,Master,32,352,21,16,16
617,61,"$32,218.00 ",Alone,No,8,2n Cycle,24,15,13,1,30
618,33,"$84,219.00 ",In couple,No,12,Graduation,137,400,45,137,45
619,33,"$84,219.00 ",In couple,No,12,Graduation,137,400,45,137,45
620,55,"$48,877.00 ",Alone,Yes,12,Graduation,1,15,2,0,24
621,71,"$60,905.00 ",In couple,Yes,12,Graduation,17,76,36,17,38
622,57,"$75,236.00 ",In couple,Yes,12,Graduation,66,400,12,38,114
623,68,"$62,551.00 ",Alone,No,12,Graduation,16,98,134,21,27
624,38,"$70,123.00 ",In couple,No,21,PhD,0,396,23,0,0
625,59,"$50,785.00 ",Alone,Yes,12,Graduation,1,21,0,1,27
626,51,"$15,315.00 ",In couple,No,8,2n Cycle,4,13,15,8,17
627,51,"$15,315.00 ",In couple,No,8,2n Cycle,4,13,15,8,17
628,51,"$64,413.00 ",In couple,Yes,21,PhD,5,44,0,10,20
629,40,"$87,171.00 ",In couple,No,21,PhD,44,107,58,44,44
630,60,"$30,081.00 ",Alone,Yes,12,Graduation,0,2,0,0,4
631,45,"$20,180.00 ",Alone,No,12,Graduation,42,24,15,20,18
632,45,"$20,180.00 ",Alone,No,12,Graduation,42,24,15,20,18
633,55,"$55,686.00 ",Alone,Yes,12,Graduation,0,199,37,47,26
634,62,"$26,887.00 ",In couple,Yes,8,2n Cycle,7,4,3,4,6
635,44,"$61,996.00 ",In couple,Yes,21,PhD,12,144,0,0,24
636,69,"$51,537.00 ",Alone,Yes,12,Graduation,20,204,0,0,92
637,59,"$72,025.00 ",In couple,No,12,Graduation,33,549,151,133,233
638,50,"$30,538.00 ",In couple,Yes,18,Master,0,52,8,3,20
639,30,"$61,618.00 ",Alone,No,8,2n Cycle,91,399,0,45,205
640,56,"$77,343.00 ",In couple,No,12,Graduation,151,573,98,54,31
641,32,"$75,433.00 ",In couple,Yes,12,Graduation,0,297,0,34,57
642,59,"$82,571.00 ",Alone,No,21,PhD,31,558,62,95,79
643,67,"$60,033.00 ",In couple,Yes,18,Master,1,57,19,11,48
644,38,"$39,062.00 ",Alone,Yes,12,Graduation,0,9,0,0,12
645,49,"$30,023.00 ",In couple,Yes,12,Graduation,0,16,7,6,21
646,51,"$30,015.00 ",Alone,Yes,12,Graduation,0,22,2,3,5
647,41,"$33,228.00 ",In couple,Yes,12,Graduation,2,31,7,4,5
648,54,"$22,574.00 ",In couple,Yes,12,Graduation,0,8,2,0,2
649,54,"$22,574.00 ",In couple,Yes,12,Graduation,0,8,2,0,2
650,64,"$55,267.00 ",In couple,Yes,12,Graduation,28,136,32,3,45
651,63,"$66,886.00 ",In couple,Yes,12,Graduation,4,62,41,31,146
652,50,"$72,258.00 ",Alone,Yes,12,Graduation,0,522,227,120,134
653,37,"$82,733.00 ",Alone,No,21,PhD,50,420,65,38,38
654,58,"$45,146.00 ",Alone,Yes,12,Graduation,0,5,0,0,15
655,31,"$51,250.00 ",Alone,Yes,8,2n Cycle,32,230,34,32,40
656,70,"$32,871.00 ",In couple,Yes,12,Graduation,2,12,0,2,5
657,43,"$63,855.00 ",In couple,No,8,2n Cycle,35,314,93,116,89
658,53,"$42,564.00 ",Alone,Yes,21,PhD,48,186,39,18,198
659,49,"$46,344.00 ",In couple,Yes,8,2n Cycle,20,57,8,20,91
660,58,"$50,437.00 ",In couple,Yes,12,Graduation,9,92,6,9,4
661,61,"$70,971.00 ",In couple,Yes,12,Graduation,17,572,93,125,17
662,44,"$37,774.00 ",Alone,Yes,12,Graduation,8,107,7,2,176
663,58,"$4,023.00 ",In couple,Yes,21,PhD,0,1,1,1,1
664,55,"$33,279.00 ",Alone,No,12,Graduation,3,3,0,0,0
665,43,"$42,693.00 ",In couple,Yes,12,Graduation,4,20,6,3,16
666,69,"$70,545.00 ",In couple,Yes,18,Master,39,63,55,18,21
667,64,"$65,486.00 ",Alone,Yes,12,Graduation,19,125,37,67,14
668,40,"$77,882.00 ",In couple,No,18,Master,129,396,188,22,15
669,61,"$78,468.00 ",In couple,No,12,Graduation,22,388,104,22,34
670,58,"$77,226.00 ",In couple,Yes,12,Graduation,43,239,128,76,21
671,30,"$90,638.00 ",Alone,No,18,Master,120,915,94,144,96
672,30,"$90,638.00 ",Alone,No,18,Master,120,915,94,144,96
673,73,"$70,666.00 ",In couple,No,12,Graduation,40,367,119,122,30
674,62,"$59,052.00 ",Alone,Yes,8,2n Cycle,35,75,63,57,31
675,69,"$13,084.00 ",In couple,No,5,Basic,0,7,3,7,10
676,72,"$49,160.00 ",Alone,Yes,12,Graduation,21,43,25,10,15
677,68,"$23,272.00 ",Alone,No,12,Graduation,3,6,4,2,12
678,58,"$49,476.00 ",Alone,Yes,18,Master,23,95,54,41,196
679,56,"$62,694.00 ",In couple,Yes,18,Master,6,157,25,91,91
680,48,"$57,906.00 ",In couple,Yes,21,PhD,11,119,10,3,15
681,39,"$71,853.00 ",In couple,No,12,Graduation,108,413,141,97,32
682,39,"$71,853.00 ",In couple,No,12,Graduation,108,413,141,97,32
683,62,"$65,031.00 ",In couple,Yes,12,Graduation,107,291,84,37,86
684,61,"$30,507.00 ",In couple,No,12,Graduation,36,74,38,20,110
685,51,"$67,419.00 ",In couple,Yes,12,Graduation,84,352,91,56,42
686,71,"$59,462.00 ",In couple,Yes,12,Graduation,17,143,0,8,196
687,27,"$95,529.00 ",Alone,No,12,Graduation,29,890,250,27,24
688,68,"$53,653.00 ",Alone,No,12,Graduation,10,239,28,10,108
689,41,"$25,965.00 ",In couple,No,5,Basic,2,11,41,7,11
690,51,"$22,979.00 ",In couple,Yes,12,Graduation,17,19,20,21,22
691,70,"$64,950.00 ",Alone,Yes,21,PhD,0,72,12,0,63
692,36,"$44,322.00 ",In couple,Yes,12,Graduation,0,40,3,0,3
693,38,"$30,096.00 ",In couple,Yes,12,Graduation,3,11,12,5,9
694,38,"$30,096.00 ",In couple,Yes,12,Graduation,3,11,12,5,9
695,44,"$56,628.00 ",Alone,Yes,12,Graduation,5,82,7,17,171
696,44,"$82,326.00 ",In couple,No,8,2n Cycle,142,754,159,81,183
697,26,"$71,163.00 ",Alone,No,12,Graduation,17,372,138,106,44
698,43,"$71,022.00 ",Alone,Yes,12,Graduation,12,278,0,12,242
699,67,"$42,607.00 ",Alone,Yes,8,2n Cycle,29,56,30,32,47
700,46,"$43,057.00 ",In couple,Yes,12,Graduation,2,44,0,2,5
701,46,"$47,808.00 ",In couple,Yes,18,Master,1,26,2,0,72
702,34,"$29,236.00 ",Alone,Yes,12,Graduation,4,24,16,9,9
703,52,"$40,590.00 ",Alone,Yes,12,Graduation,0,50,6,11,37
704,52,"$40,590.00 ",Alone,Yes,12,Graduation,0,50,6,11,37
705,62,"$77,520.00 ",In couple,Yes,18,Master,44,396,0,88,58
706,40,"$40,211.00 ",In couple,Yes,12,Graduation,1,7,2,1,25
707,48,"$63,516.00 ",In couple,Yes,21,PhD,11,114,15,14,5
708,47,"$53,034.00 ",Alone,Yes,12,Graduation,15,196,15,11,50
709,46,"$22,669.00 ",In couple,Yes,18,Master,14,36,37,22,48
710,39,"$79,908.00 ",In couple,No,12,Graduation,129,761,29,185,111
711,35,"$69,867.00 ",Alone,No,21,PhD,0,512,33,130,54
712,55,"$70,287.00 ",Alone,No,12,Graduation,35,482,121,120,40
713,55,"$37,070.00 ",Alone,Yes,12,Graduation,7,137,4,15,39
714,55,"$37,070.00 ",Alone,Yes,12,Graduation,7,137,4,15,39
715,55,"$38,179.00 ",In couple,Yes,18,Master,4,22,4,2,20
716,38,"$39,922.00 ",In couple,Yes,12,Graduation,12,59,19,1,36
717,38,"$39,922.00 ",In couple,Yes,12,Graduation,12,59,19,1,36
718,38,"$39,922.00 ",In couple,Yes,12,Graduation,12,59,19,1,36
719,58,"$64,191.00 ",Alone,Yes,18,Master,15,186,151,38,15
720,46,"$41,658.00 ",Alone,Yes,8,2n Cycle,4,12,15,4,29
721,45,"$40,780.00 ",Alone,Yes,12,Graduation,27,71,13,3,34
722,42,"$77,568.00 ",In couple,Yes,12,Graduation,0,396,232,178,158
723,36,"$66,503.00 ",Alone,Yes,12,Graduation,64,128,65,3,50
724,35,"$83,512.00 ",In couple,No,12,Graduation,61,835,80,20,101
725,57,"$31,686.00 ",In couple,Yes,21,PhD,0,5,0,0,1
726,45,"$71,322.00 ",In couple,Yes,12,Graduation,24,124,24,15,42
727,33,"$27,938.00 ",Alone,Yes,12,Graduation,0,8,2,1,5
728,70,"$22,263.00 ",Alone,Yes,12,Graduation,0,2,0,0,2
729,65,"$34,633.00 ",In couple,Yes,12,Graduation,1,5,0,0,1
730,40,"$42,162.00 ",In couple,Yes,12,Graduation,7,59,2,4,27
